domain,icao_hex,registration,group,type,comments
MIL,,NZ1401,,a-f-A-M-F-T,Beechcraft T-6C Texan II trainer #NZDF
MIL,,NZ1402,,a-f-A-M-F-T,Beechcraft T-6C Texan II trainer #NZDF
MIL,,NZ1403,,a-f-A-M-F-T,Beechcraft T-6C Texan II trainer #NZDF
MIL,,NZ1404,,a-f-A-M-F-T,Beechcraft T-6C Texan II trainer #NZDF
MIL,,NZ1405,,a-f-A-M-F-T,Beechcraft T-6C Texan II trainer #NZDF
MIL,,NZ1406,,a-f-A-M-F-T,Beechcraft T-6C Texan II trainer #NZDF
MIL,,NZ1407,,a-f-A-M-F-T,Beechcraft T-6C Texan II trainer #NZDF
MIL,,NZ1408,,a-f-A-M-F-T,Beechcraft T-6C Texan II trainer #NZDF
MIL,,NZ1409,,a-f-A-M-F-T,Beechcraft T-6C Texan II trainer #NZDF
MIL,,NZ1410,,a-f-A-M-F-T,Beechcraft T-6C Texan II trainer #NZDF
MIL,,NZ1411,,a-f-A-M-F-T,Beechcraft T-6C Texan II trainer #NZDF
MIL,,NZ2350,,a-f-A-M-F-R,Beech King Air 350i (KA350) #NZDF
MIL,,NZ2351,,a-f-A-M-F-R,Beech King Air 350i (KA350) #NZDF
MIL,,NZ2352,,a-f-A-M-F-R,Beech King Air 350i (KA350) #NZDF
MIL,,NZ2353,,a-f-A-M-F-R,Beech King Air 350i (KA350) #NZDF
MIL,,NZ3301,,a-f-A-M-H,NHI NH90-TTH #NZDF
MIL,,NZ3302,,a-f-A-M-H,NHI NH90-TTH #NZDF
MIL,,NZ3303,,a-f-A-M-H,NHI NH90-TTH #NZDF
MIL,,NZ3304,,a-f-A-M-H,NHI NH90-TTH #NZDF
MIL,,NZ3305,,a-f-A-M-H,NHI NH90-TTH #NZDF
MIL,,NZ3306,,a-f-A-M-H,NHI NH90-TTH #NZDF
MIL,,NZ3307,,a-f-A-M-H,NHI NH90-TTH #NZDF
MIL,,NZ3308,,a-f-A-M-H,NHI NH90-TTH #NZDF
MIL,,NZ3309,,a-f-A-M-H,NHI NH90-TTH #NZDF
MIL,,NZ3401,,a-f-A-M-H-T,Agusta A109 LUH(NZ) #NZDF
